0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
10010.0,6.5,85.0,0.0,0.0,119.0,0.0,36.0,8.333333333333334,0.0,0.0,18.636363636363637,0.0,0.0,0.0,6.790000000000002,0.0,0.0,0.0,0.0,0.0,258.75,65.36363636363636,1.7,5.200000000000001,51.04545454545454,7.599999999999998,0.0,99.90909090909092,0.0,0.0,24.2,73.81818181818181,0.0,0.03000000000000001,100.72727272727273,0.0,0.0,0.0,119.0,0.0,36.0,8.333333333333334,0.0,0.0,19.0,0.0,0.0,0.0,6.79,0.0,0.0,0.0,0.0,0.0,258.75,64.5,1.7,5.2,48.25,7.6,0.0,100.0,0.0,0.0,24.200000000000003,72.5,0.0,0.03,100.86363636363637,0.0,0.0,0.0,0.0,0.0,2.0,2.7,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,32.0,0.0,0.0,40.0,0.0,0.0,1.0,0.0,0.0,7.099999999999998,11.0,0.0,0.0,13.0,0.0
10012.0,6.5,63.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,16.454545454545453,0.0,0.0,0.0,0.0,60.5,0.0,0.35000000000000003,0.0,94.5,0.0,69.9090909090909,0.0,0.0,52.77272727272727,0.0,0.0,99.0,0.0,0.0,0.0,82.45454545454545,0.0,0.0,101.27272727272727,7.395,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,60.5,0.0,0.35,0.0,94.5,0.0,68.95454545454545,0.0,0.0,51.88636363636364,0.0,0.0,100.0,0.0,0.0,0.0,83.22727272727272,0.0,0.0,101.13636363636363,7.395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.10000000000000003,0.0,7.0,0.0,18.0,0.0,0.0,10.5,0.0,0.0,4.0,0.0,0.0,0.0,25.0,0.0,0.0,28.0,0.010000000000000675
10013.0,6.5,56.0,0.0,21.5,50.0,0.0,36.0,9.099999999999998,33.0,0.0,14.363636363636365,0.0,5.3999999999999995,3.2999999999999994,1.6000000000000003,0.0,56.0,0.0,48.0,0.0,118.0,101.63636363636363,2.3000000000000003,4.0,0.0,7.7,144.0,97.45454545454545,0.0,90.0,25.899999999999995,76.18181818181819,0.7000000000000001,0.0,152.36363636363637,0.0,0.0,21.5,50.0,0.0,36.0,9.1,33.0,0.0,14.181818181818182,0.0,5.4,3.3,1.6,0.0,56.0,0.0,48.0,0.0,118.0,100.5,2.3,4.0,0.0,7.7,144.0,97.72727272727272,0.0,90.0,25.9,73.0,0.7,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,26.0,0.0,0.0,25.0,0.0
10014.0,6.5,61.0,0.0,0.0,107.0,0.0,35.25,12.300000000000002,0.0,0.0,17.099999999999998,0.0,0.0,8.0,5.834999999999998,0.0,103.0,0.21,65.0,0.0,109.5,63.72727272727273,0.0,4.966666666666666,53.54545454545454,9.599999999999998,162.0,96.63636363636363,0.0,0.0,35.60000000000001,72.27272727272727,9.0,0.0,91.0,0.0,0.0,0.0,107.0,0.0,35.25,12.3,0.0,0.0,18.0,0.0,0.0,8.0,5.835,0.0,103.0,0.21,65.0,0.0,109.5,62.86363636363636,0.0,4.966666666666666,53.52272727272727,9.6,162.0,96.81818181818181,0.0,0.0,35.6,72.0,9.0,0.0,92.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.02999999999999936,0.0,10.0,0.0,0.0,0.0,3.0,12.0,0.0,0.5,12.5,0.0,10.0,5.0,0.0,0.0,0.0,8.0,0.1999999999999993,0.0,23.0,0.0
10015.0,6.5,77.0,0.0,0.0,0.0,0.0,36.25,0.0,0.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.25,0.0,0.0,69.0,0.0,0.0,94.0,0.0,0.0,0.0,93.5,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,36.25,0.0,0.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.25,0.0,0.0,69.0,0.0,0.0,94.0,0.0,0.0,0.0,93.5,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,16.0,0.0,0.0,5.0,0.0,0.0,0.0,22.0,0.0,0.0,37.0,0.0
10016.0,6.5,59.0,0.0,63.1,12.0,0.0,36.0,0.0,29.0,0.0,13.090909090909092,0.0,3.2999999999999994,0.0,0.9,0.0,0.0,0.0,0.0,0.0,89.0,79.36363636363636,1.4000000000000001,3.0,61.61363636363637,9.299999999999999,0.0,95.63636363636363,0.0,93.0,0.0,65.8,0.0,0.0,102.45454545454545,0.0,0.0,63.1,12.0,0.0,36.0,0.0,29.0,0.0,12.5,0.0,3.3,0.0,0.9,0.0,0.0,0.0,0.0,0.0,89.0,79.18181818181819,1.4,3.0,62.30681818181819,9.3,0.0,97.0,0.0,93.0,0.0,64.9,0.0,0.0,103.22727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,15.75,0.0,0.0,16.0,0.0,0.0,0.0,24.0,0.0,0.0,21.0,0.0
1002.0,6.5,44.0,0.0,0.0,13.0,0.0,36.0,14.300000000000004,0.0,0.0,15.363636363636365,0.0,3.5,7.5,1.1500000000000001,0.0,0.0,0.0,256.0,0.0,90.0,72.27272727272727,2.3000000000000003,4.299999999999999,61.90909090909091,9.099999999999998,0.0,97.72727272727273,0.0,0.0,42.800000000000004,48.81818181818181,0.0,0.0,93.63636363636363,0.0,0.0,0.0,13.0,0.0,36.0,14.3,0.0,0.0,15.681818181818182,0.0,3.5,7.5,1.15,0.0,0.0,0.0,256.0,0.0,90.0,71.0,2.3,4.3,60.0,9.1,0.0,98.0,0.0,0.0,42.8,48.90909090909091,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,28.0,0.0,0.0,3.0,0.0,0.0,0.0,18.0,0.0,0.0,34.0,0.0
10020.0,6.5,77.0,0.0,0.0,0.0,1.01,37.0,0.0,0.0,0.0,16.818181818181817,0.0,0.0,0.0,0.0,54.0,0.0,0.35000000000000003,0.0,0.0,142.0,106.72727272727273,0.0,4.3999999999999995,74.22727272727273,1.2200000000000002,0.0,99.36363636363637,0.0,99.0,0.0,63.0,0.0,0.0,168.36363636363637,7.400000000000002,0.0,0.0,0.0,1.01,37.0,0.0,0.0,0.0,16.909090909090907,0.0,0.0,0.0,0.0,54.0,0.0,0.35,0.0,0.0,142.0,107.36363636363637,0.0,4.4,74.61363636363637,1.22,0.0,100.0,0.0,99.0,0.0,63.5,0.0,0.0,170.1818181818182,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,61.0,0.0
10021.0,6.5,79.0,0.0,0.0,0.0,0.0,37.66666666666667,0.0,0.0,0.0,22.181818181818183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,70.0,0.0,0.0,0.0,0.0,0.0,98.2,0.0,0.0,0.0,82.9090909090909,0.0,0.0,95.27272727272727,0.0,0.0,0.0,0.0,0.0,37.666666666666664,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,70.5,0.0,0.0,0.0,0.0,0.0,98.6,0.0,0.0,0.0,81.5,0.0,0.0,95.13636363636363,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,39.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,19.0,0.0,0.0,31.0,0.0
10022.0,6.5,45.0,0.0,0.0,29.0,1.0999999999999999,37.33333333333333,8.299999999999999,30.0,0.0,10.85714285714286,0.0,2.6000000000000005,7.599999999999998,3.799999999999999,0.0,0.0,0.0,192.0,0.0,123.0,76.57142857142857,1.6000000000000003,3.700000000000001,0.0,9.099999999999998,0.0,99.75,0.0,100.0,25.3,73.14285714285712,0.0,0.0,128.14285714285714,0.0,0.0,0.0,29.0,1.1,37.333333333333336,8.3,30.0,0.0,10.857142857142858,0.0,2.6,7.6,3.8,0.0,0.0,0.0,192.0,0.0,123.0,76.57142857142857,1.6,3.7,0.0,9.1,0.0,99.75,0.0,100.0,25.3,73.14285714285714,0.0,0.0,128.14285714285714,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,26.0,0.0
10023.0,6.5,58.0,30.555555555555557,0.0,6.0,0.0,37.0,12.800000000000002,0.0,0.0,13.636363636363635,0.0,3.2000000000000006,13.0,0.9600000000000003,34.0,0.0,1.0,199.0,100.0,125.0,92.90909090909092,1.7,3.700000000000001,69.0909090909091,8.599999999999998,0.0,99.63636363636363,0.0,0.0,38.89999999999999,76.0909090909091,0.0,0.0,137.72727272727272,7.47,30.555555555555557,0.0,6.0,0.0,37.0,12.8,0.0,0.0,13.318181818181818,0.0,3.2,13.0,0.96,34.0,0.0,1.0,199.0,100.0,125.0,92.95454545454545,1.7,3.7,69.54545454545455,8.6,0.0,100.0,0.0,0.0,38.9,75.04545454545455,0.0,0.0,137.86363636363637,7.47,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,30.0,0.0,0.0,24.0,0.0,0.0,2.0,0.0,0.0,0.0,26.0,0.0,0.0,38.0,0.0
10024.0,6.5,50.0,0.0,83.29999999999998,0.0,6.599999999999999,36.4,9.5,0.0,6.0,23.71428571428571,0.0,0.0,12.300000000000002,0.0,40.0,0.0,0.5,45.0,78.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,98.42857142857143,0.0,0.0,25.05,87.83333333333333,0.0,0.0,95.83333333333333,7.495000000000001,0.0,83.3,0.0,6.6,36.4,9.5,0.0,6.0,23.714285714285715,0.0,0.0,12.3,0.0,40.0,0.0,0.5,45.0,78.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,98.42857142857143,0.0,0.0,25.05,87.83333333333333,0.0,0.0,95.83333333333333,7.495,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.5,13.0,0.0,0.0,17.0,0.009999999999999787
10026.0,6.5,40.0,0.0,0.0,28.0,2.0,37.5,8.5,21.0,-0.25,24.444444444444443,0.0,3.5,19.099999999999998,1.8999999999999995,44.0,0.0,0.5,151.0,0.0,120.0,93.7,2.1000000000000005,3.2000000000000006,77.8,7.400000000000002,0.0,98.89999999999999,0.0,104.0,26.100000000000005,124.39999999999999,0.0,0.0,134.5,7.3725,0.0,0.0,28.0,2.0,37.5,8.5,21.0,-0.25,24.444444444444443,0.0,3.5,19.1,1.9,44.0,0.0,0.5,151.0,0.0,120.0,93.7,2.1,3.2,77.8,7.4,0.0,99.0,0.0,104.0,26.1,124.2,0.0,0.0,134.5,7.3725,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,31.0,0.0,0.0,4.0,0.0,0.0,0.0,20.0,0.0,0.0,66.0,0.040000000000000036
10027.0,6.5,61.0,0.0,33.800000000000004,16.0,0.0,37.5,14.050000000000002,0.0,0.0,14.363636363636365,0.0,3.700000000000001,11.6,1.5150000000000003,0.0,48.0,0.0,188.0,0.0,147.33333333333331,71.9090909090909,1.8,3.9,57.72727272727273,9.15,65.0,98.90909090909092,0.4000000000000001,0.0,41.4,72.54545454545455,1.8999999999999995,0.9250000000000003,101.90909090909092,0.0,0.0,33.8,16.0,0.0,37.5,14.05,0.0,0.0,13.0,0.0,3.7,11.6,1.5150000000000001,0.0,48.0,0.0,188.0,0.0,147.33333333333334,69.95454545454545,1.8,3.9,56.86363636363636,9.149999999999999,65.0,99.0,0.4,0.0,41.400000000000006,72.27272727272728,1.9,0.925,102.95454545454545,0.0,0.0,0.0,0.0,0.0,1.0,1.299999999999999,0.0,0.0,15.0,0.0,0.0,1.1999999999999993,0.1100000000000001,0.0,0.0,0.0,0.0,0.0,28.0,45.0,0.0,0.20000000000000018,37.0,0.09999999999999964,0.0,4.0,0.0,0.0,3.3999999999999986,14.0,0.0,0.15000000000000002,48.0,0.0
10029.0,6.5,49.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,61.66666666666666,0.0,0.0,99.0,0.0,0.0,0.0,56.333333333333336,0.0,0.009999999999999998,108.66666666666667,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,61.666666666666664,0.0,0.0,99.0,0.0,0.0,0.0,56.333333333333336,0.0,0.01,108.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0
10030.0,6.5,64.0,0.0,0.0,14.0,3.06,37.083333333333336,8.150000000000002,0.0,0.0,19.0,193.0,2.5,10.0,1.0150000000000001,35.0,0.0,0.8000000000000002,107.0,0.0,137.0,77.91666666666667,2.2,4.6000000000000005,58.458333333333336,4.2749999999999995,0.0,99.91666666666667,0.0,108.0,23.650000000000002,85.0,0.0,0.0,117.08333333333333,7.394999999999999,0.0,0.0,14.0,3.06,37.0,8.15,0.0,0.0,18.5,193.0,2.5,10.0,1.0150000000000001,35.0,0.0,0.7999999999999999,107.0,0.0,135.75,78.5,2.2,4.6,57.0,4.275,0.0,100.0,0.0,108.0,23.65,85.0,0.0,0.0,118.5,7.395,0.0,0.0,2.0,1.58,2.0,1.7000000000000002,0.0,0.0,12.0,0.0,0.0,4.0,0.030000000000000027,6.0,0.0,0.6,0.0,0.0,51.0,27.0,0.19999999999999973,0.5,22.0,7.08,0.0,1.0,0.0,2.0,5.099999999999998,26.0,0.0,0.0,41.0,0.03000000000000025
10031.0,6.5,64.0,0.0,0.0,0.0,0.0,36.63636363636363,0.0,0.0,0.0,19.09090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.33333333333331,73.0,0.0,0.0,57.36363636363637,0.0,0.0,98.27272727272727,0.0,0.0,0.0,67.45454545454545,0.0,0.0,125.72727272727273,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,19.045454545454547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.33333333333333,73.0,0.0,0.0,58.0,0.0,0.0,98.13636363636363,0.0,0.0,0.0,67.0,0.0,0.0,125.36363636363637,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,18.0,0.0,0.0,17.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,31.0,0.0
